抗生素	抗生素上标	抗生素说明	分级	分级说明	尿检	所在表格	表格名称	表格名称上标
Ampicillin			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Cefazolin			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Cefuroxime			Tier 2	Antimicrobial agents that are appropriate for routine, primary testing but may be reported following cascade reporting rules established at each institution		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Cefotaxime or ceftriaxone	b		Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Cefepime	c		Tier 2	Antimicrobial agents that are appropriate for routine, primary testing but may be reported following cascade reporting rules established at each institution		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
"Ertapenem
Imipenem
Meropenem"			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Cefiderocol			Tier 2	Antimicrobial agents that are appropriate for routine, primary testing but may be reported following cascade reporting rules established at each institution		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Ceftazidime-avibactam			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Imipenem-relebactam			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Meropenem-vaborbactam			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Amoxicillin-clavulanate Ampicillin-sulbactam			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Piperacillin-tazobactam			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Gentamicin			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Tobramycin			Tier 2	Antimicrobial agents that are appropriate for routine, primary testing but may be reported following cascade reporting rules established at each institution		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Plazomicin			Tier 3	Antimicrobial agents that are appropriate for routine, primary testing in institutions that serve patients at high risk for MDROs but should only be reported following cascade reporting rules established at each institution		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Amikacin			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
"Ciprofloxacin
Levofloxacin"			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Trimethoprim-sulfamethoxazole			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
"Cefotetan
Cefoxitin"			Tier 2	Antimicrobial agents that are appropriate for routine, primary testing but may be reported following cascade reporting rules established at each institution		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Tetracycline	d		Tier 2	Antimicrobial agents that are appropriate for routine, primary testing but may be reported following cascade reporting rules established at each institution		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Aztreonam			Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Ceftaroline	b		Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Ceftazidime	b		Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Ceftolozane-tazobactam			Tier 4	Antimicrobial agents that may warrant testing and reporting by clinician request if antimicrobial agents in other tiers are not optimal because of various factors		Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Cefazolin 	e	surrogate for uncomplicated UTI	Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting	Urine Only	Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
Nitrofurantoin			Tier 1	Antimicrobial agents that are appropriate for routine, primary testing and reporting	Urine Only	Table 1A	Enterobacterales (not including Salmonella/Shigella)	a
